,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Volume
23,2015-02-04,8789.15,8792.85,8704.4,8723.7,201252375,8707.82,201252375.0
24,2015-02-05,8733.1,8838.45,8683.65,8711.7,179008853,9126.1,179008853.0
25,2015-02-06,8696.85,8726.2,8645.55,8661.05,176554075,7912.1,176554075.0
26,2015-02-09,8584.4,8605.55,8516.35,8526.35,151329604,6863.17,151329604.0
27,2015-02-10,8478.1,8646.25,8470.5,8565.55,202294693,9965.76,202294693.0
28,2015-02-11,8603.3,8651.95,8593.65,8627.4,166560867,7602.46,166560867.0
29,2015-02-12,8676.95,8732.55,8599.25,8711.55,163681352,7669.87,163681352.0
30,2015-02-13,8741.5,8822.1,8729.65,8805.5,228807812,10248.41,228807812.0
31,2015-02-16,8831.4,8870.1,8793.4,8809.35,140637331,7047.32,140637331.0
32,2015-02-18,8811.55,8894.3,8808.9,8869.1,152152801,10153.74,152152801.0
33,2015-02-19,8883.05,8913.45,8794.45,8895.3,219867400,9794.26,219867400.0
34,2015-02-20,8895.5,8899.95,8816.3,8833.6,203714864,8193.56,203714864.0
35,2015-02-23,8856.85,8869.0,8736.1,8754.95,143932325,7171.05,143932325.0
36,2015-02-24,8772.9,8800.5,8726.75,8762.1,154368611,7413.31,154368611.0
37,2015-02-25,8801.9,8840.65,8751.4,8767.25,139406599,6986.78,139406599.0
38,2015-02-26,8779.0,8786.05,8669.45,8683.85,224185492,10531.16,224185492.0
39,2015-02-27,8729.5,8856.95,8717.45,8844.6,257226273,11924.49,257226273.0
40,2015-02-28,8913.05,8941.1,8751.35,8901.85,246453954,10064.41,246453954.0
41,2015-03-02,8953.85,8972.35,8885.45,8956.75,224772586,11525.5,224772586.0
42,2015-03-03,8962.85,9008.4,8925.55,8996.25,183251960,9033.61,183251960.0
43,2015-03-04,9109.15,9119.2,8893.95,8922.65,256060375,12130.98,256060375.0
44,2015-03-05,8929.4,8957.55,8849.35,8937.75,165081476,8250.55,165081476.0
45,2015-03-09,8891.15,8891.3,8740.45,8756.75,160332840,8132.43,160332840.0
46,2015-03-10,8769.75,8778.0,8677.35,8712.05,168916337,8402.33,168916337.0
47,2015-03-11,8728.75,8755.6,8682.35,8699.95,178053293,8259.67,178053293.0
48,2015-03-12,8740.65,8787.2,8732.9,8776.0,179337979,8184.46,179337979.0
49,2015-03-13,8844.05,8849.75,8631.75,8647.75,184665971,8121.26,184665971.0
50,2015-03-16,8656.75,8663.55,8612.0,8633.15,168438040,7559.94,168438040.0
51,2015-03-17,8689.1,8742.55,8630.8,8723.3,182504639,8086.26,182504639.0
52,2015-03-18,8742.9,8747.25,8664.0,8685.9,161153533,8227.5,161153533.0
53,2015-03-19,8749.45,8788.2,8614.65,8634.65,168628424,8460.35,168628424.0
54,2015-03-20,8627.9,8627.9,8553.0,8570.9,179982752,8484.23,179982752.0
55,2015-03-23,8591.55,8608.35,8540.55,8550.9,155425780,6195.45,155425780.0
56,2015-03-24,8537.05,8627.75,8535.85,8542.95,161465466,7913.26,161465466.0
57,2015-03-25,8568.9,8573.75,8516.55,8530.8,165952155,8200.05,165952155.0
58,2015-03-26,8474.95,8499.45,8325.35,8342.15,288758332,13667.31,288758332.0
59,2015-03-27,8396.0,8413.2,8269.15,8341.4,198979321,9528.86,198979321.0
60,2015-03-30,8390.95,8504.55,8380.75,8492.3,142061290,6713.2,142061290.0
61,2015-03-31,8527.6,8550.45,8454.15,8491.0,177059509,8108.36,177059509.0
62,2015-04-01,8483.7,8603.4,8464.75,8586.25,136312446,6863.03,136312446.0
63,2015-04-06,8615.8,8667.55,8573.75,8659.9,150877855,7633.0,150877855.0
64,2015-04-07,8684.45,8693.6,8586.85,8660.3,141765381,7287.01,141765381.0
65,2015-04-08,8698.95,8730.5,8679.8,8714.4,149617725,7889.65,149617725.0
66,2015-04-09,8756.2,8785.5,8682.45,8778.3,158192905,8391.19,158192905.0
67,2015-04-10,8774.35,8787.4,8733.6,8780.35,141464357,7119.96,141464357.0
68,2015-04-13,8801.75,8841.65,8762.1,8834.0,122833397,6242.71,122833397.0
69,2015-04-15,8844.75,8844.8,8722.4,8750.2,170458015,8908.26,170458015.0
70,2015-04-16,8757.05,8760.0,8645.65,8706.7,149337173,8268.33,149337173.0
71,2015-04-17,8698.05,8699.85,8596.7,8606.0,155474164,9134.37,155474164.0
72,2015-04-20,8618.8,8619.95,8422.75,8448.1,154492312,8930.38,154492312.0
73,2015-04-21,8416.1,8469.35,8352.7,8377.75,418959074,32873.45,418959074.0
74,2015-04-22,8400.4,8449.95,8284.7,8429.7,176926942,10002.48,176926942.0
75,2015-04-23,8478.2,8504.95,8361.85,8398.3,169840748,9801.34,169840748.0
76,2015-04-24,8405.7,8413.3,8273.35,8305.25,177843969,10984.24,177843969.0
77,2015-04-27,8330.55,8334.45,8202.35,8213.8,174706337,10143.36,174706337.0
78,2015-04-28,8215.55,8308.0,8185.15,8285.6,183754628,9560.13,183754628.0
79,2015-04-29,8274.8,8308.2,8219.2,8239.75,174958511,8571.95,174958511.0
80,2015-04-30,8224.5,8229.4,8144.75,8181.5,281696257,14755.35,281696257.0
81,2015-05-04,8230.05,8346.0,8220.45,8331.95,136913823,7856.18,136913823.0
82,2015-05-05,8338.4,8355.65,8280.6,8324.8,156019941,8138.54,156019941.0
83,2015-05-06,8316.6,8331.95,8083.0,8097.0,212509839,10894.12,212509839.0
84,2015-05-07,8077.0,8122.6,7997.15,8057.3,166563657,8443.96,166563657.0
85,2015-05-08,8131.5,8224.95,8123.45,8191.5,188776090,8961.33,188776090.0
86,2015-05-11,8243.2,8332.75,8224.65,8325.25,197882948,8396.12,197882948.0
87,2015-05-12,8326.15,8326.65,8115.3,8126.95,178753978,8779.53,178753978.0
88,2015-05-13,8181.55,8254.95,8089.8,8235.45,175015183,8391.93,175015183.0
89,2015-05-14,8232.45,8236.25,8137.3,8224.2,138964395,6763.72,138964395.0
90,2015-05-15,8240.3,8279.2,8212.2,8262.35,133838055,6463.64,133838055.0
